|id |va_id|stream_id|gender|age|count|date                      |client_id|
|71 |296  |202      |0     |3  |1    |2024-07-12 20:01:03.212578|45       |
|72 |296  |202      |0     |3  |1    |2024-07-12 20:01:13.482458|45       |
|73 |296  |202      |1     |4  |1    |2024-07-12 20:01:15.218709|45       |
|74 |296  |202      |0     |4  |1    |2024-07-12 20:01:24.137188|45       |
|75 |296  |202      |1     |5  |1    |2024-07-12 20:02:31.464595|45       |
|76 |296  |202      |1     |4  |1    |2024-07-12 20:03:31.327983|45       |
|77 |296  |202      |1     |4  |1    |2024-07-12 20:04:47.381343|45       |
|78 |296  |202      |1     |4  |1    |2024-07-12 20:06:02.805852|45       |
|79 |296  |202      |0     |3  |1    |2024-07-12 20:06:13.537745|45       |
|80 |296  |202      |1     |4  |1    |2024-07-12 20:06:23.079788|45       |
|81 |296  |202      |0     |3  |1    |2024-07-12 20:06:25.006427|45       |
|82 |296  |202      |1     |4  |1    |2024-07-12 20:06:46.389437|45       |
|83 |296  |202      |1     |4  |1    |2024-07-12 20:07:04.408911|45       |
|84 |296  |202      |1     |5  |1    |2024-07-12 20:08:11.350751|45       |
|85 |296  |202      |1     |5  |1    |2024-07-12 20:08:17.228844|45       |
|86 |296  |202      |0     |4  |1    |2024-07-12 20:08:19.883517|45       |
|87 |296  |202      |1     |4  |1    |2024-07-12 20:08:29.95421 |45       |
|88 |296  |202      |1     |5  |1    |2024-07-12 20:09:11.357267|45       |
|89 |296  |202      |0     |4  |1    |2024-07-12 20:09:17.73497 |45       |
|90 |296  |202      |0     |7  |1    |2024-07-12 20:09:47.363347|45       |
|91 |296  |202      |0     |3  |1    |2024-07-12 20:10:07.357092|45       |
|92 |296  |202      |1     |4  |2    |2024-07-12 20:11:01.356612|45       |
|93 |296  |202      |1     |5  |1    |2024-07-12 20:11:37.341309|45       |
|94 |296  |202      |1     |4  |1    |2024-07-12 20:12:02.938676|45       |
|95 |296  |202      |1     |5  |1    |2024-07-12 20:12:28.363614|45       |
|96 |296  |202      |1     |4  |1    |2024-07-12 20:12:37.388946|45       |
|97 |296  |202      |0     |3  |1    |2024-07-12 20:12:53.458106|45       |
|98 |296  |202      |1     |5  |1    |2024-07-12 20:14:28.416689|45       |
|99 |296  |202      |0     |4  |1    |2024-07-12 20:15:27.25755 |45       |
|100|296  |202      |0     |3  |1    |2024-07-12 20:15:39.085669|45       |
|101|296  |202      |1     |4  |1    |2024-07-12 20:15:56.687852|45       |
|102|296  |202      |1     |4  |1    |2024-07-12 20:16:11.348572|45       |
|103|296  |202      |0     |3  |1    |2024-07-12 20:16:39.100626|45       |
|104|296  |202      |0     |3  |1    |2024-07-12 20:16:56.740623|45       |
|105|296  |202      |0     |4  |1    |2024-07-12 20:17:02.819581|45       |
|106|296  |202      |1     |5  |1    |2024-07-12 20:17:11.134625|45       |
|107|296  |202      |0     |3  |1    |2024-07-12 20:17:27.766902|45       |
|108|296  |202      |1     |4  |1    |2024-07-12 20:19:05.386901|45       |
|109|296  |202      |1     |4  |1    |2024-07-12 20:19:34.432259|45       |
|110|296  |202      |1     |4  |1    |2024-07-12 20:20:11.013798|45       |
|111|296  |202      |1     |5  |1    |2024-07-12 20:20:25.082633|45       |
|112|296  |202      |1     |4  |1    |2024-07-12 20:20:28.439823|45       |
|113|296  |202      |0     |3  |1    |2024-07-12 20:20:48.48302 |45       |
|114|296  |202      |0     |3  |1    |2024-07-12 20:20:52.945231|45       |
|115|296  |202      |0     |3  |1    |2024-07-12 20:20:54.840845|45       |
|116|296  |202      |0     |4  |1    |2024-07-12 20:21:18.096813|45       |
|117|296  |202      |1     |4  |1    |2024-07-12 20:21:25.416865|45       |
|118|296  |202      |0     |3  |1    |2024-07-12 20:21:28.06243 |45       |
|119|296  |202      |1     |4  |1    |2024-07-12 20:21:52.94632 |45       |
|120|296  |202      |0     |3  |1    |2024-07-12 20:21:54.203163|45       |
|121|296  |202      |0     |3  |1    |2024-07-12 20:22:20.085349|45       |
|122|296  |202      |0     |3  |1    |2024-07-12 20:22:38.073409|45       |
|123|296  |202      |1     |5  |1    |2024-07-12 20:23:04.471995|45       |
|124|296  |202      |1     |4  |1    |2024-07-12 20:23:06.751242|45       |
|125|296  |202      |1     |5  |1    |2024-07-12 20:23:11.95346 |45       |
|126|1,370|371      |1     |4  |1    |2025-08-14 09:16:43.686391|84       |
|127|1,370|371      |1     |4  |1    |2025-08-14 09:16:51.001572|84       |
|128|1,370|371      |1     |5  |1    |2025-08-14 09:22:02.473566|84       |
|129|1,370|371      |1     |4  |1    |2025-08-14 09:22:49.934093|84       |
|130|1,370|371      |1     |4  |1    |2025-08-14 09:22:51.292361|84       |
|131|1,370|371      |0     |7  |1    |2025-08-14 09:23:01.651001|84       |
|132|1,370|371      |0     |4  |1    |2025-08-14 09:23:04.853041|84       |
|133|1,370|371      |1     |4  |1    |2025-08-14 09:23:23.146958|84       |
|134|1,370|371      |1     |4  |1    |2025-08-14 09:23:54.322321|84       |
|135|1,370|371      |1     |5  |1    |2025-08-14 09:25:41.478478|84       |
|136|1,370|371      |1     |10 |1    |2025-08-14 09:29:07.816619|84       |
|137|1,370|371      |1     |5  |1    |2025-08-14 09:30:29.391453|84       |
|138|1,370|371      |1     |7  |1    |2025-08-14 09:30:34.219371|84       |
|139|1,370|371      |1     |6  |1    |2025-08-14 09:30:37.780921|84       |
|140|1,370|371      |1     |5  |1    |2025-08-14 09:31:00.049149|84       |
|141|1,370|371      |1     |4  |1    |2025-08-14 09:31:33.122278|84       |
|142|1,370|371      |1     |4  |1    |2025-08-14 09:31:37.61892 |84       |
|143|1,370|371      |1     |4  |1    |2025-08-14 09:31:39.367254|84       |
|144|1,370|371      |1     |6  |1    |2025-08-14 09:33:51.351419|84       |
|145|1,370|371      |1     |6  |1    |2025-08-14 09:34:26.583468|84       |
