|id |name                        |comment       |streams        |send_internal_notifications|events_holder                                                                                           |status|created_at             |list_permissions                                                                                                                                                                                           |enabled|color  |client_id|
|46 |POC VSG                     |              |"[]"           |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2025-01-16 18:49:00.629|"{\"creator_id\":1,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |[NULL] |#B4E200|0        |
|47 |DGT Tecnologia              |              |"[]"           |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2025-01-31 18:52:00.938|"{\"creator_id\":1,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |[NULL] |#B4E200|0        |
|79 |Moradores                   |              |"[411]"        |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2025-02-24 15:45:38.14 |"{\"creator_id\":48,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |[NULL] |#1d0eec|46       |
|80 |618 - Altos do Ipê - Garagem|              |"[]"           |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2025-03-07 21:15:48.82 |"{\"creator_id\":1,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |[NULL] |#B4E200|0        |
|81 |testkk                      |              |"[]"           |false                      |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2025-03-17 09:34:23.101|"{\"creator_id\":1,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |[NULL] |#B4E200|0        |
|82 |MORADORES                   |              |"[539]"        |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2025-03-28 13:38:00.904|"{\"creator_id\":1,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |[NULL] |#B4E200|0        |
|83 |PRESTADORES DE SERVIÇOS     |              |"[]"           |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2025-03-28 13:38:35.11 |"{\"creator_id\":1,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |[NULL] |#B4E200|0        |
|84 |Placa                       |PPJ5683       |"[548]"        |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2025-04-10 15:02:46.669|"{\"creator_id\":102,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"|[NULL] |#d80303|87       |
|85 |Placa                       |              |"[]"           |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2025-04-10 16:17:04.607|"{\"creator_id\":102,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"|[NULL] |#000000|87       |
|86 |Lista Negra                 |              |"[548,555,556]"|true                       |"{\"events\":[{\"id\":\"3f384d50-aab2-4e1f-918c-0b3481a14d05\",\"params\":{}}],\"notify_enabled\":true}"|1     |2025-04-10 16:21:37.216|"{\"creator_id\":102,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"|[NULL] |#0d0c0c|87       |
