|id     |va_id|line|type|count|direction|created_at         |client_id|present|
|232,341|806  |0   |0   |1    |1        |2025-11-25 13:09:00|6        |-7     |
|232,342|806  |0   |0   |1    |2        |2025-11-25 13:09:00|6        |-7     |
|232,343|806  |0   |0   |1    |2        |2025-11-25 13:18:00|6        |-7     |
|232,344|806  |0   |0   |1    |1        |2025-11-25 13:21:00|6        |-7     |
|232,345|806  |0   |0   |1    |2        |2025-11-25 13:27:00|6        |-7     |
|232,346|806  |0   |0   |1    |1        |2025-11-25 13:45:00|6        |-7     |
|232,347|806  |0   |0   |1    |2        |2025-11-25 13:45:00|6        |-7     |
|232,348|806  |0   |0   |1    |1        |2025-11-25 13:51:00|6        |-7     |
|232,349|806  |0   |0   |5    |2        |2025-11-25 13:51:00|6        |-7     |
|232,350|806  |0   |0   |1    |1        |2025-11-25 13:54:00|6        |-7     |
|232,351|806  |0   |0   |5    |1        |2025-11-25 14:24:00|6        |1      |
|232,352|806  |0   |0   |1    |2        |2025-11-25 14:24:00|6        |1      |
|232,353|806  |0   |0   |1    |1        |2025-11-25 14:30:00|6        |1      |
|232,354|806  |0   |0   |2    |1        |2025-11-25 14:33:00|6        |1      |
|232,355|806  |0   |0   |2    |2        |2025-11-25 14:33:00|6        |1      |
|232,356|806  |0   |0   |4    |2        |2025-11-25 14:51:00|6        |1      |
|232,357|806  |0   |0   |1    |2        |2025-11-25 15:27:00|6        |2      |
|232,358|682  |0   |0   |1    |2        |2025-11-25 15:57:00|6        |-1     |
|232,359|806  |0   |0   |3    |1        |2025-11-25 15:57:00|6        |2      |
|232,360|806  |0   |0   |1    |2        |2025-11-25 16:00:00|6        |-1     |
|232,361|806  |0   |0   |1    |1        |2025-11-25 16:03:00|6        |-1     |
|232,362|806  |0   |0   |2    |1        |2025-11-25 16:09:00|6        |-1     |
|232,363|806  |0   |0   |1    |2        |2025-11-25 16:09:00|6        |-1     |
|232,364|806  |0   |0   |1    |2        |2025-11-25 16:24:00|6        |-1     |
|232,365|806  |0   |0   |1    |1        |2025-11-25 16:30:00|6        |-1     |
|232,366|806  |0   |0   |1    |2        |2025-11-25 16:30:00|6        |-1     |
|232,367|806  |0   |0   |2    |1        |2025-11-25 16:36:00|6        |-1     |
|232,368|806  |0   |0   |2    |2        |2025-11-25 16:36:00|6        |-1     |
