|id     |face_id|status|accepted_by|created_at             |
|111,943|438,551|0     |1          |2025-11-25 08:51:24.957|
|111,944|438,574|0     |1          |2025-11-25 08:56:17.548|
|111,945|438,575|0     |11         |2025-11-25 08:56:46.47 |
|111,946|438,600|0     |1          |2025-11-25 09:00:20.219|
|111,947|438,611|0     |1          |2025-11-25 09:02:44.169|
|111,948|438,612|0     |11         |2025-11-25 09:02:50.157|
|111,949|438,613|0     |1          |2025-11-25 09:02:54.28 |
|111,950|438,616|0     |1          |2025-11-25 09:04:08.083|
|111,951|438,617|0     |1          |2025-11-25 09:04:14.704|
|111,952|438,624|0     |1          |2025-11-25 09:04:56.565|
|111,953|438,634|0     |11         |2025-11-25 09:07:27.12 |
|111,954|438,641|0     |11         |2025-11-25 09:09:07.423|
|111,955|438,644|0     |1          |2025-11-25 09:09:18.328|
|111,956|438,651|0     |1          |2025-11-25 09:09:42.973|
|111,957|438,657|0     |1          |2025-11-25 09:10:00.556|
|111,958|438,660|0     |1          |2025-11-25 09:10:31.937|
|111,959|438,667|0     |1          |2025-11-25 09:11:24.312|
|111,960|438,668|0     |1          |2025-11-25 09:11:28.691|
|111,961|438,671|0     |1          |2025-11-25 09:11:41.87 |
|111,962|438,674|0     |11         |2025-11-25 09:11:44.096|
|111,963|438,681|0     |1          |2025-11-25 09:12:14.669|
|111,964|438,684|0     |1          |2025-11-25 09:12:34.266|
|111,965|438,685|0     |11         |2025-11-25 09:12:34.789|
|111,966|438,686|0     |1          |2025-11-25 09:12:48.281|
|111,967|438,687|0     |1          |2025-11-25 09:13:06.889|
|111,968|438,690|0     |1          |2025-11-25 09:13:57.415|
|111,969|438,692|0     |1          |2025-11-25 09:14:27.224|
|111,970|438,693|0     |11         |2025-11-25 09:14:31.15 |
|111,971|438,703|0     |1          |2025-11-25 09:15:15.017|
|111,972|438,704|0     |1          |2025-11-25 09:15:26.708|
|111,973|438,705|0     |1          |2025-11-25 09:15:40.495|
|111,974|438,706|0     |1          |2025-11-25 09:16:00.531|
