|id   |stream_id|va_id|frame_image                                          |thumbnail_image                                                |objects                                                                                                                                     |zone                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |created_at             |client_id|status|accepted_by|
|3,728|741      |1,402|"gun_alerts/1402/2025/11/25/22/gun_1764108560656.jpg"|"gun_alerts/1402/2025/11/25/22/gun_1764108560656_thumbnail.jpg"|"[{\"box\":[0.4699999988079071,0.5299999713897705,0.5199999809265137,0.5899999737739563],\"confidence\":0.5043697357177734,\"type\":0}]"    |"{\"id\":\"a79cde9f3e43\",\"name\":\"Rule 1\",\"points\":[{\"x\":0.007799999788403511,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.9861000180244446},{\"x\":0.007799999788403511,\"y\":0.9861000180244446}]}"                                                                                                                                                                                                                                                               |2025-11-25 19:09:20.656|8        |1     |0          |
|3,729|895      |1,437|"gun_alerts/1437/2025/11/26/0/gun_1764118084043.jpg" |"gun_alerts/1437/2025/11/26/0/gun_1764118084043_thumbnail.jpg" |"[{\"box\":[0.5899999737739563,0.36000001430511475,0.6899999976158142,0.5799999833106995],\"confidence\":0.7021484375,\"type\":0}]"         |"{\"id\":\"e3eb2905fbf4\",\"name\":\"Rule 1\",\"points\":[{\"x\":0.1234000027179718,\"y\":0.20559999346733093},{\"x\":0.47029998898506165,\"y\":0.1444000005722046},{\"x\":0.6937000155448914,\"y\":0.3847000002861023},{\"x\":0.9922000169754028,\"y\":0.9861000180244446},{\"x\":0.13750000298023224,\"y\":0.9861000180244446},{\"x\":0.07890000194311142,\"y\":0.5625}]}"                                                                                                                                                                       |2025-11-25 21:48:04.043|8        |1     |0          |
|3,730|741      |1,402|"gun_alerts/1402/2025/11/26/10/gun_1764151293432.jpg"|"gun_alerts/1402/2025/11/26/10/gun_1764151293432_thumbnail.jpg"|"[{\"box\":[0.3400000035762787,0.3400000035762787,0.38999998569488525,0.3799999952316284],\"confidence\":0.56201171875,\"type\":0}]"        |"{\"id\":\"a79cde9f3e43\",\"name\":\"Rule 1\",\"points\":[{\"x\":0.007799999788403511,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.9861000180244446},{\"x\":0.007799999788403511,\"y\":0.9861000180244446}]}"                                                                                                                                                                                                                                                               |2025-11-26 07:01:33.432|8        |1     |0          |
|3,731|741      |1,402|"gun_alerts/1402/2025/11/26/10/gun_1764153332849.jpg"|"gun_alerts/1402/2025/11/26/10/gun_1764153332849_thumbnail.jpg"|"[{\"box\":[0.5600000023841858,0.3499999940395355,0.6000000238418579,0.38999998569488525],\"confidence\":0.2249755859375,\"type\":0}]"      |"{\"id\":\"a79cde9f3e43\",\"name\":\"Rule 1\",\"points\":[{\"x\":0.007799999788403511,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.9861000180244446},{\"x\":0.007799999788403511,\"y\":0.9861000180244446}]}"                                                                                                                                                                                                                                                               |2025-11-26 07:35:32.849|8        |1     |0          |
|3,732|741      |1,402|"gun_alerts/1402/2025/11/26/10/gun_1764153350491.jpg"|"gun_alerts/1402/2025/11/26/10/gun_1764153350491_thumbnail.jpg"|"[{\"box\":[0.550000011920929,0.3400000035762787,0.5899999737739563,0.3799999952316284],\"confidence\":0.2403564453125,\"type\":0}]"        |"{\"id\":\"a79cde9f3e43\",\"name\":\"Rule 1\",\"points\":[{\"x\":0.007799999788403511,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.9861000180244446},{\"x\":0.007799999788403511,\"y\":0.9861000180244446}]}"                                                                                                                                                                                                                                                               |2025-11-26 07:35:50.491|8        |1     |0          |
|3,733|741      |1,402|"gun_alerts/1402/2025/11/26/10/gun_1764153377848.jpg"|"gun_alerts/1402/2025/11/26/10/gun_1764153377848_thumbnail.jpg"|"[{\"box\":[0.550000011920929,0.3400000035762787,0.5899999737739563,0.3799999952316284],\"confidence\":0.402099609375,\"type\":0}]"         |"{\"id\":\"a79cde9f3e43\",\"name\":\"Rule 1\",\"points\":[{\"x\":0.007799999788403511,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.9861000180244446},{\"x\":0.007799999788403511,\"y\":0.9861000180244446}]}"                                                                                                                                                                                                                                                               |2025-11-26 07:36:17.848|8        |1     |0          |
|3,734|741      |1,402|"gun_alerts/1402/2025/11/26/10/gun_1764153392958.jpg"|"gun_alerts/1402/2025/11/26/10/gun_1764153392958_thumbnail.jpg"|"[{\"box\":[0.550000011920929,0.3400000035762787,0.5899999737739563,0.3799999952316284],\"confidence\":0.309326171875,\"type\":0}]"         |"{\"id\":\"a79cde9f3e43\",\"name\":\"Rule 1\",\"points\":[{\"x\":0.007799999788403511,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.9861000180244446},{\"x\":0.007799999788403511,\"y\":0.9861000180244446}]}"                                                                                                                                                                                                                                                               |2025-11-26 07:36:32.958|8        |1     |0          |
|3,735|741      |1,402|"gun_alerts/1402/2025/11/26/10/gun_1764154352718.jpg"|"gun_alerts/1402/2025/11/26/10/gun_1764154352718_thumbnail.jpg"|"[{\"box\":[0.23999999463558197,0.6200000047683716,0.33000001311302185,0.6899999976158142],\"confidence\":0.55419921875,\"type\":0}]"       |"{\"id\":\"a79cde9f3e43\",\"name\":\"Rule 1\",\"points\":[{\"x\":0.007799999788403511,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.9861000180244446},{\"x\":0.007799999788403511,\"y\":0.9861000180244446}]}"                                                                                                                                                                                                                                                               |2025-11-26 07:52:32.718|8        |1     |0          |
|3,736|741      |1,402|"gun_alerts/1402/2025/11/26/11/gun_1764156333817.jpg"|"gun_alerts/1402/2025/11/26/11/gun_1764156333817_thumbnail.jpg"|"[{\"box\":[0.4399999976158142,0.5199999809265137,0.5,0.5600000023841858],\"confidence\":0.492431640625,\"type\":0}]"                       |"{\"id\":\"a79cde9f3e43\",\"name\":\"Rule 1\",\"points\":[{\"x\":0.007799999788403511,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.9861000180244446},{\"x\":0.007799999788403511,\"y\":0.9861000180244446}]}"                                                                                                                                                                                                                                                               |2025-11-26 08:25:33.817|8        |1     |0          |
|3,737|895      |1,437|"gun_alerts/1437/2025/11/26/14/gun_1764168453359.jpg"|"gun_alerts/1437/2025/11/26/14/gun_1764168453359_thumbnail.jpg"|"[{\"box\":[0.36000001430511475,0.44999998807907104,0.4099999964237213,0.5],\"confidence\":0.72705078125,\"type\":0}]"                      |"{\"id\":\"e3eb2905fbf4\",\"name\":\"Rule 1\",\"points\":[{\"x\":0.1234000027179718,\"y\":0.20559999346733093},{\"x\":0.47029998898506165,\"y\":0.1444000005722046},{\"x\":0.6937000155448914,\"y\":0.3847000002861023},{\"x\":0.9922000169754028,\"y\":0.9861000180244446},{\"x\":0.13750000298023224,\"y\":0.9861000180244446},{\"x\":0.07890000194311142,\"y\":0.5625}]}"                                                                                                                                                                       |2025-11-26 11:47:33.359|8        |1     |0          |
