|id |name                           |comment                      |min_confidence|streams                      |send_internal_notifications|events_holder                                                                                           |status|created_at             |client_id|color  |time_attendance                                                       |enabled|list_permissions                                                                                                                                                                                               |
|42 |ASSALTANTES VITORIA ES         |                             |50            |"[224,227,228,200]"          |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2024-09-15 11:45:50.414|40       |#e60a0a|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":43,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |
|43 |Trontec                        |                             |80            |"[207]"                      |true                       |"{\"events\":[{\"id\":\"a1bc326f-f60e-4243-8c1a-8bcb2e11948f\",\"params\":{}}],\"notify_enabled\":true}"|1     |2024-07-12 21:01:29.539|45       |#ff0000|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":48,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |
|44 |Trontec 1                      |                             |80            |"[]"                         |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2024-07-19 16:06:26.944|0        |       |"{\"enabled\":true,\"entrance_streams\":[],\"exit_streams\":[]}"      |[NULL] |"{\"creator_id\":1,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
|45 |EMPRESARIOS                    |                             |5             |"[]"                         |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2024-08-06 21:44:59.823|0        |#35fd0d|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":1,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
|46 |TESTE SHOPPING VITORIA         |                             |70            |"[227,228,231,232,234]"      |true                       |"{\"events\":[{\"id\":\"57caa127-1d37-4324-a550-345b25d39b8b\",\"params\":{}}],\"notify_enabled\":true}"|-1    |2024-09-17 22:16:15.162|40       |#0f8406|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":43,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |
|47 |VIGILANTE SHOPPING VITORIA     |                             |70            |"[227,228,231,232]"          |true                       |"{\"events\":[{\"id\":\"57caa127-1d37-4324-a550-345b25d39b8b\",\"params\":{}}],\"notify_enabled\":true}"|-1    |2024-09-17 22:16:05.552|40       |#d1d507|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":43,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |
|48 |KOMTEK TECNOLOGIA              |                             |70            |"[257]"                      |true                       |"{\"events\":[{\"id\":\"027fbc53-783b-4ef4-b4a5-2b731fb9cbed\",\"params\":{}}],\"notify_enabled\":true}"|-1    |2024-10-05 15:06:02.105|0        |#ededed|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":1,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
|80 |VANS AEROPORTO                 |                             |80            |"[]"                         |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2024-10-20 19:53:58.459|0        |       |"{\"enabled\":true,\"entrance_streams\":[],\"exit_streams\":[]}"      |[NULL] |"{\"creator_id\":1,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
|81 |AEROPORTO FACES                |                             |80            |"[]"                         |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2024-10-23 08:51:34.179|0        |       |"{\"enabled\":true,\"entrance_streams\":[],\"exit_streams\":[]}"      |[NULL] |"{\"creator_id\":1,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
|82 |OI Telecom                     |                             |80            |"[]"                         |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2024-10-21 19:31:17.813|0        |       |"{\"enabled\":true,\"entrance_streams\":[],\"exit_streams\":[]}"      |[NULL] |"{\"creator_id\":1,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
