|id |detection_id|list_id|list_item_id|list_item_name|status|accepted_by|created_at             |plate_number|arabic_number|adr|box                                                                            |plate_image                                                       |frame_image                                               |analytics_id|make_model_id|vehicle_type|color_id|direction|country|pattern  |latitude|longitude|client_id|
|15 |84          |[NULL] |[NULL]      |[NULL]        |1     |0          |2025-12-17 23:16:38.278|DFK8D52     |             |   |[0.636532723903656,0.1269736886024475,0.6707589030265808,0.14802631735801697]  |analytics/plates/3/2025/12/17/23/DFK8D52_1766013398276_cropped.jpg|analytics/plates/3/2025/12/17/23/DFK8D52_1766013398276.jpg|3           |200,018      |5           |15      |303      |BR     |BRAZIL-1 |0       |0        |0        |
|16 |85          |[NULL] |[NULL]      |[NULL]        |1     |0          |2025-12-17 23:16:39.403|EGQ4J63     |             |   |[0.5591517686843872,0.32894736528396606,0.6104910969734192,0.35197368264198303]|analytics/plates/3/2025/12/17/23/EGQ4J63_1766013399401_cropped.jpg|analytics/plates/3/2025/12/17/23/EGQ4J63_1766013399401.jpg|3           |201,896      |1           |5       |317      |BR     |BRAZIL-1 |0       |0        |0        |
|17 |86          |[NULL] |[NULL]      |[NULL]        |1     |0          |2025-12-17 23:16:40.395|FYW5807     |             |   |[0.8136160969734192,0.7322368621826172,0.890252947807312,0.7855263352394104]   |analytics/plates/3/2025/12/17/23/FYW5807_1766013400395_cropped.jpg|analytics/plates/3/2025/12/17/23/FYW5807_1766013400395.jpg|3           |-1           |0           |4       |-1       |BR     |BRAZIL-1 |0       |0        |0        |
|18 |87          |[NULL] |[NULL]      |[NULL]        |1     |0          |2025-12-17 23:16:47.601|BOV7D60     |             |   |[0.6145833134651184,0.3973684310913086,0.6752232313156128,0.4269736707210541]  |analytics/plates/3/2025/12/17/23/BOV7D60_1766013407599_cropped.jpg|analytics/plates/3/2025/12/17/23/BOV7D60_1766013407599.jpg|3           |201,896      |1           |5       |310      |BR     |BRAZIL-1 |0       |0        |0        |
|19 |88          |[NULL] |[NULL]      |[NULL]        |1     |0          |2025-12-17 23:16:50.325|FNA7714     |             |   |[0.5569196343421936,0.3302631676197052,0.6101190447807312,0.36052632331848145] |analytics/plates/3/2025/12/17/23/FNA7714_1766013410323_cropped.jpg|analytics/plates/3/2025/12/17/23/FNA7714_1766013410323.jpg|3           |201,896      |1           |5       |309      |BR     |BRAZIL-1 |0       |0        |0        |
|20 |89          |[NULL] |[NULL]      |[NULL]        |1     |0          |2025-12-17 23:17:00.219|OQH1181     |             |   |[0.6313244104385376,0.2631579041481018,0.6830357313156128,0.2921052575111389]  |analytics/plates/3/2025/12/17/23/OQH1181_1766013420217_cropped.jpg|analytics/plates/3/2025/12/17/23/OQH1181_1766013420217.jpg|3           |200,410      |7           |7       |-1       |BR     |BRAZIL-1 |0       |0        |0        |
|21 |90          |[NULL] |[NULL]      |[NULL]        |1     |0          |2025-12-17 23:17:12.277|CHM3B02     |             |   |[0.5479910969734192,0.36513158679008484,0.605282723903656,0.39144736528396606] |analytics/plates/3/2025/12/17/23/CHM3B02_1766013432275_cropped.jpg|analytics/plates/3/2025/12/17/23/CHM3B02_1766013432275.jpg|3           |200,410      |7           |7       |-1       |BR     |BRAZIL-1 |0       |0        |0        |
|22 |91          |[NULL] |[NULL]      |[NULL]        |1     |0          |2025-12-17 23:17:17.698|UGK4G03     |             |   |[0.5208333134651184,0.2611842155456543,0.5729166865348816,0.28684210777282715] |analytics/plates/3/2025/12/17/23/UGK4G03_1766013437696_cropped.jpg|analytics/plates/3/2025/12/17/23/UGK4G03_1766013437696.jpg|3           |201,896      |1           |5       |310      |BR     |BRAZIL-1 |0       |0        |0        |
|23 |92          |[NULL] |[NULL]      |[NULL]        |1     |0          |2025-12-17 23:17:20.226|PVZ1678     |             |   |[0.5189732313156128,0.12894736230373383,0.5554315447807312,0.14868420362472534]|analytics/plates/3/2025/12/17/23/PVZ1678_1766013440224_cropped.jpg|analytics/plates/3/2025/12/17/23/PVZ1678_1766013440224.jpg|3           |200,410      |7           |7       |304      |EC     |ECUADOR-1|0       |0        |0        |
|24 |93          |[NULL] |[NULL]      |[NULL]        |1     |0          |2025-12-17 23:18:26.527|EMO2F10     |             |   |[0.6506696343421936,0.19736842811107635,0.6882440447807312,0.21776315569877625]|analytics/plates/3/2025/12/17/23/EMO2F10_1766013506525_cropped.jpg|analytics/plates/3/2025/12/17/23/EMO2F10_1766013506525.jpg|3           |200,410      |7           |7       |304      |BR     |BRAZIL-1 |0       |0        |0        |
