|id |name|parent_id|plugin_name|client_id|
|140|CAPIXABA|0|face|0|
|141|0992 - COPAG|0|face|80|
|142|PHD Vila Velha|0|face|6|
|143|PROJETO GDL|0|face|0|
|144|ESCOLA SANTA TEREZINHA|0|face|6|
|145|GRUPOSEI|0|face|0|
|146|BANCO SICOOB|0|face|84|
|147|EPI|0|face|0|
|148|ALERTAS OCR|0|face|1|
|149|RIVIERA|0|face|6|
|150|POC GRUPO SEI|0|face|84|
|151|ANTONIO. M. MACHADO|0|face|8|
|152|SEGEAGLE|0|face|0|
|153|GTTAN|0|face|0|
|154|CASA BRANCA|0|face|6|
|155|EUROVIDROS|0|face|6|
|156|AGGREGATION|0|face|0|
|157|HOMOLOGACOES|0|face|0|
|158|PRAIA FORT|0|face|0|
|159|COND. ROSENGARTEN|0|face|8|
|160|COND. SUPREMO VILA YARA|0|face|8|
|161|FINERAX|0|face|8|
|162|COND. SOLAR SERRANO|0|face|8|
|163|COND. CINTIA|0|face|8|
|164|BASE OPERACAO|0|face|8|
|165|COND. ANNUNCIATA|0|face|8|
|166|COND. ART ECO VIDA|0|face|8|
|167|COND. ATLANTA|0|face|8|
|168|COND. VILA YARA|0|face|8|
|169|COND. UPTOWN|0|face|8|
|170|COND. SHALON|0|face|8|
|171|COND. AUSTRIA|0|face|8|
|172|COND. SCORPIUS|0|face|8|
|173|COND. ROMA|0|face|8|
|174|COND. PRISCILA|0|face|8|
|175|COND. PORTAL SAO FRANCISCO|0|face|8|
|176|COND. ORQUIDEAS|0|face|8|
|177|COND. MORADA DO SOL|0|face|8|
|178|COND. MATRIZ|0|face|8|
|179|COND. MARAPASSU|0|face|8|
|180|COND. IPANEMA|0|face|8|
|181|COND. FLORENCA|0|face|8|
|182|COND. ESPANHA|0|face|8|
|183|COND. CAMILA|0|face|8|
|184|COND. BORBA GATO|0|face|8|
|185|COND. BEIJA FLOR|0|face|8|
|186|COND. BANDEIRANTES|0|face|8|
|187|COND. ANIMA|0|face|8|
|188|COND. 28 DE MAIO|0|face|8|
|189|COND. AMERICA|0|face|8|
|190|COND. BONFIGLIOLI|0|face|8|
|191|COND. BOULEVARD|0|face|8|
|192|COND. CAMPO GRANDE|0|face|8|
|193|COND. CANTA GALO|0|face|8|
|194|COND. CASA FLORA|0|face|8|
|195|COND. CASCAIS|0|face|8|
|196|COND. COQUEIROS|0|face|8|
|197|COND. DIVA|0|face|8|
|198|COND. FLOR DE LIRIO|0|face|8|
|199|COND. GARDENS|0|face|8|
|200|COND. GIUSEPPE|0|face|8|
|201|COND. GOLDEN GATE|0|face|8|
|202|COND. GRAND CANAL|0|face|8|
|203|COND. HORTENCIAS|0|face|8|
|204|COND. LA VILLETE|0|face|8|
|205|COND. LIFE STYLE|0|face|8|
|206|COND. MAGGIORE|0|face|8|
|207|COND. MARIE|0|face|8|
|208|COND. MATIAZZO|0|face|8|
|209|COND. OPTION HOME|0|face|8|
|210|COND. PLANALTO BUTANTA|0|face|8|
|211|COND. PLAZA MORUMBI|0|face|8|
|212|COND. PURUS|0|face|8|
|213|COND. QUINTA DE SILVEIRAS|0|face|8|
|214|COND. ROLDAO|0|face|8|
|215|COND. SANTA RITA|0|face|8|
|216|COND. SANTANNA|0|face|8|
|217|COND. SPAZIO|0|face|8|
|218|COND. TENERIFE|0|face|8|
|219|COND. TERRA BRASILIS|0|face|8|
|220|COND. UPSIDE|0|face|8|
|221|COND. VILA ITU|0|face|8|
|222|COND. VILA MARIANA|0|face|8|
|223|COND. VILA VERDE|0|face|8|
|224|COND. VILLAGIO|0|face|8|
|225|HARAS|0|face|8|
|226|PAULO TEST|0|face|0|
|227|JACKPOT|0|face|8|
|228|Eduacandario|0|face|93|
|229|AUTOBAHN|0|face|6|
|230|CN LOG|0|face|6|
|231|1Project|0|face|0|
|232|MONUV|0|face|0|
|233|COND. LEAF|0|face|8|
|234|COND. COLLINE DE NICE|0|face|8|
|235|9000 - MARTEL SEGURANCA|0|face|96|
|236|2000 - casa das ferragens|0|face|96|
|237|8608 - GTTAM|0|face|97|
|238|1147 - UBS BOA VISTA|0|face|4|
|239|Stratum|0|face|98|
|240|CASA DO CONSTRUTOR|0|face|4|
|241|0076 - Proeng Hall|0|face|97|
|242|5050 - LOJA SOLUTION|0|face|100|
|243|0123 - AFFETTO PAPELARIA|0|face|97|
|244|0124 - VITORIA FUTEBOL CLUBE - GALERIA VITORIA|0|face|97|
|245|ESTOQUE VERTEX|0|face|8|
|246|ATCOM- SHOPPINGS|0|face|101|
|247|MARCELO|0|face|90|
|248|0085 - VITORIA FUTEBOL CLUBE|0|face|97|
|249|AGRALE GALPAO|0|face|6|
|250|SCARDUA|0|face|6|
|251|ASSALTOS|0|fallen_people|1|
|252|SIMULACOES|0|fallen_people|1|
|253|ULTRAFARMA SANTO AMARO|0|fallen_people|4|
|254|IPMED|0|fallen_people|6|
|255|ESPIRAL|0|fallen_people|6|
|256|SERVIP|0|fallen_people|6|
|257|LUVEP|0|fallen_people|6|
|258|GM INDUSTRIAL|0|fallen_people|6|
|259|KOMTEK|0|fallen_people|0|
|260|SHOPP LARANJEIRAS|0|fallen_people|6|
|261|APRESENTACAO|0|fallen_people|0|
|262|6002 - SHOWROOM|0|fallen_people|40|
|263|SHOPPING VITORIA TESTE|0|fallen_people|40|
|264|GDL LOGISTICA|0|fallen_people|40|
|265|CAPIXABA|0|fallen_people|0|
|266|0992 - COPAG|0|fallen_people|80|
|267|PHD Vila Velha|0|fallen_people|6|
|268|PROJETO GDL|0|fallen_people|0|
|269|ESCOLA SANTA TEREZINHA|0|fallen_people|6|
|270|GRUPOSEI|0|fallen_people|0|
|271|BANCO SICOOB|0|fallen_people|84|
|272|EPI|0|fallen_people|0|
|273|ALERTAS OCR|0|fallen_people|1|
|274|RIVIERA|0|fallen_people|6|
|275|POC GRUPO SEI|0|fallen_people|84|
|276|ANTONIO. M. MACHADO|0|fallen_people|8|
|277|SEGEAGLE|0|fallen_people|0|
|278|GTTAN|0|fallen_people|0|
|279|CASA BRANCA|0|fallen_people|6|
|280|EUROVIDROS|0|fallen_people|6|
|281|AGGREGATION|0|fallen_people|0|
|282|HOMOLOGACOES|0|fallen_people|0|
|283|PRAIA FORT|0|fallen_people|0|
|284|COND. ROSENGARTEN|0|fallen_people|8|
|285|COND. SUPREMO VILA YARA|0|fallen_people|8|
|286|FINERAX|0|fallen_people|8|
|287|COND. SOLAR SERRANO|0|fallen_people|8|
|288|COND. CINTIA|0|fallen_people|8|
