|id   |analytics_id|status|accepted_by|frame_image                                               |thumbnail_image                                                     |zone                                                                                                                                                                                                                                                  |dwell_time|trigger|notification_type|action_type|resolution                |created_at             |client_id|latitude|longitude|
|1,420|8           |0     |2          |analytics/object_alerts/8/2025/12/18/12/_1766059235405.jpg|analytics/object_alerts/8/2025/12/18/12/_1766059235405_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|17        |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 12:00:35.405|0        |0       |0        |
|1,421|8           |0     |2          |analytics/object_alerts/8/2025/12/18/12/_1766059254407.jpg|analytics/object_alerts/8/2025/12/18/12/_1766059254407_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|37        |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 12:00:54.408|0        |0       |0        |
|1,422|8           |0     |2          |analytics/object_alerts/8/2025/12/18/12/_1766059300413.jpg|analytics/object_alerts/8/2025/12/18/12/_1766059300413_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|60        |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 12:01:40.414|0        |0       |0        |
|1,423|8           |0     |2          |analytics/object_alerts/8/2025/12/18/12/_1766059446268.jpg|analytics/object_alerts/8/2025/12/18/12/_1766059446268_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|8         |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 12:04:06.268|0        |0       |0        |
|1,424|8           |0     |2          |analytics/object_alerts/8/2025/12/18/12/_1766059468271.jpg|analytics/object_alerts/8/2025/12/18/12/_1766059468271_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|3         |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 12:04:28.271|0        |0       |0        |
|1,425|8           |0     |2          |analytics/object_alerts/8/2025/12/18/12/_1766059469271.jpg|analytics/object_alerts/8/2025/12/18/12/_1766059469271_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|2         |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 12:04:29.272|0        |0       |0        |
|1,426|8           |0     |2          |analytics/object_alerts/8/2025/12/18/12/_1766059491273.jpg|analytics/object_alerts/8/2025/12/18/12/_1766059491273_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|35        |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 12:04:51.274|0        |0       |0        |
|1,451|8           |0     |1          |analytics/object_alerts/8/2025/12/18/13/_1766063971553.jpg|analytics/object_alerts/8/2025/12/18/13/_1766063971553_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|2         |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 13:19:31.554|0        |0       |0        |
|1,452|8           |0     |1          |analytics/object_alerts/8/2025/12/18/13/_1766063982555.jpg|analytics/object_alerts/8/2025/12/18/13/_1766063982555_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|2         |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 13:19:42.555|0        |0       |0        |
|1,453|8           |0     |1          |analytics/object_alerts/8/2025/12/18/13/_1766064469326.jpg|analytics/object_alerts/8/2025/12/18/13/_1766064469326_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|2         |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 13:27:49.327|0        |0       |0        |
|1,429|8           |0     |1          |analytics/object_alerts/8/2025/12/18/12/_1766061191791.jpg|analytics/object_alerts/8/2025/12/18/12/_1766061191791_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|2         |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 12:33:11.792|0        |0       |0        |
|1,430|8           |0     |1          |analytics/object_alerts/8/2025/12/18/12/_1766061343908.jpg|analytics/object_alerts/8/2025/12/18/12/_1766061343908_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|37        |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 12:35:43.909|0        |0       |0        |
|1,431|8           |0     |1          |analytics/object_alerts/8/2025/12/18/12/_1766061505384.jpg|analytics/object_alerts/8/2025/12/18/12/_1766061505384_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|29        |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 12:38:25.385|0        |0       |0        |
|1,432|8           |0     |1          |analytics/object_alerts/8/2025/12/18/12/_1766061644190.jpg|analytics/object_alerts/8/2025/12/18/12/_1766061644190_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|4         |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 12:40:44.19 |0        |0       |0        |
|1,433|8           |0     |1          |analytics/object_alerts/8/2025/12/18/12/_1766061666193.jpg|analytics/object_alerts/8/2025/12/18/12/_1766061666193_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|3         |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 12:41:06.193|0        |0       |0        |
|1,434|8           |0     |1          |analytics/object_alerts/8/2025/12/18/12/_1766061683195.jpg|analytics/object_alerts/8/2025/12/18/12/_1766061683195_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|51        |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 12:41:23.195|0        |0       |0        |
|1,435|8           |0     |1          |analytics/object_alerts/8/2025/12/18/12/_1766061754204.jpg|analytics/object_alerts/8/2025/12/18/12/_1766061754204_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|73        |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 12:42:34.205|0        |0       |0        |
|1,436|8           |0     |1          |analytics/object_alerts/8/2025/12/18/12/_1766061837215.jpg|analytics/object_alerts/8/2025/12/18/12/_1766061837215_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|22        |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 12:43:57.215|0        |0       |0        |
|1,437|8           |0     |1          |analytics/object_alerts/8/2025/12/18/12/_1766061991235.jpg|analytics/object_alerts/8/2025/12/18/12/_1766061991235_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|54        |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 12:46:31.235|0        |0       |0        |
