|id |role_name                |permissions                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |client_id|description|
|47 |Operadores               |["ViewTrafficAnalytic","ViewObjectInZoneAnalytics","ViewStreams","ViewTrafficObjectCounter","ViewLiveTrafficAnalytics","AcceptObjectInZoneNotification","ViewTrafficStats","ViewTrafficEvents","ViewObjectInZoneNotification"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |0        |           |
|48 |Vertex                   |["DeleteLprListElement","ViewStreams","ManageObjectInZoneAnalytics","ViewFaceEvents","DeleteFaceList","ManageFaceAnalytic","ManageGunDetectorAnalytics","ViewLprSearch","DeleteFaceListElement","EditFaceListElement","ExportLprSearch","ViewRoles","ManageEvents","ManageLprAnalytic","ViewLprStats","AddLprList","AddFaceList","ManageStreams","ViewGunDetectorNotifications","ViewUsers","EditLprListElement","AcceptObjectInZoneNotification","ViewObjectInZoneNotification","ViewLprAnalytic","ViewLprLists","EditFaceList","AddLprListElement","AddFaceListElement","ViewObjectInZoneAnalytics","ViewGunDetectorAnalytics","ManageRoles","EditLprList","ManageUsers","DeleteLprList","ViewFaceLists","ViewFaceSearch","ViewFaceAnalytic"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |0        |           |
|49 |Capixaba Operador        |["ManageTrafficAnalytic","DeleteLprListElement","ManageObjectInZoneAnalytics","ViewLiveTrafficAnalytics","ManageSmokeFireAnalytics","ViewFaceEvents","DeleteFaceList","ManageFaceAnalytic","ViewLprSearch","DeleteFaceListElement","EditFaceListElement","ExportLprSearch","ManageLprAnalytic","ManageEvents","ViewLprStats","AddFaceList","AddLprList","ViewTrafficObjectCounter","ManageStreams","ViewSmokeFireNotifications","ViewTrafficEvents","ViewRailroadSearch","EditLprListElement","AcceptObjectInZoneNotification","ViewObjectInZoneNotification","ViewLprAnalytic","ViewLprLists","EditFaceList","AddLprListElement","AddFaceListElement","ViewTrafficAnalytic","ViewObjectInZoneAnalytics","ManageRailroadAnalytic","ViewSmokeFireAnalytics","EditLprList","DeleteLprList","ViewTrafficStats","ViewFaceLists","ViewFaceSearch","ViewRailroadAnalytic","ViewFaceAnalytic"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |0        |           |
|50 |Komtek Lab               |["ManageTrafficAnalytic","ManageSmokeFireAnalytics","ViewFaceEvents","DeleteFaceList","ViewLprSearch","DeleteFaceListElement","EditFaceListElement","ExportLprSearch","ManageLprAnalytic","ManageEvents","ViewLprStats","ManageStreams","ViewSmokeFireNotifications","ViewTrafficEvents","AcceptObjectInZoneNotification","ViewLprAnalytic","EditFaceList","ViewTrafficAnalytic","AddFaceListElement","ViewGunDetectorAnalytics","ViewSmokeFireAnalytics","ManageRailroadAnalytic","ViewRailroadAnalytic","ViewFaceAnalytic","ManageHardHatAnalytic","ManageGeneralSettings","DeleteLprListElement","ViewStreams","ManageObjectInZoneAnalytics","ViewHardHatNotifications","ViewLiveTrafficAnalytics","ManageFaceAnalytic","ManageGunDetectorAnalytics","AddFaceList","AddLprList","ViewTrafficObjectCounter","ViewHardHatAnalytics","ViewGunDetectorNotifications","ViewRailroadSearch","EditLprListElement","ViewObjectInZoneNotification","ViewLprLists","AddLprListElement","ViewObjectInZoneAnalytics","EditLprList","DeleteLprList","ViewTrafficStats","ViewFaceLists","ViewFaceSearch"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |0        |           |
|51 |VSG                      |["ManageTrafficAnalytic","ViewFaceEvents","ManageSmokeFireAnalytics","DeleteFaceList","ViewLprSearch","DeleteFaceListElement","EditFaceListElement","ExportLprSearch","ViewRoles","ManageLprAnalytic","ManageEvents","ViewLprStats","ManageStreams","ViewSmokeFireNotifications","ViewTrafficEvents","AcceptObjectInZoneNotification","ViewLprAnalytic","EditFaceList","ViewTrafficAnalytic","AddFaceListElement","ViewGunDetectorAnalytics","ManageRoles","ManageRailroadAnalytic","ViewSmokeFireAnalytics","ManageUsers","ViewRailroadAnalytic","ViewFaceAnalytic","ManageHardHatAnalytic","DeleteLprListElement","ViewStreams","ManageObjectInZoneAnalytics","ViewHardHatNotifications","ViewLiveTrafficAnalytics","ManageGunDetectorAnalytics","ManageFaceAnalytic","AddFaceList","AddLprList","ViewTrafficObjectCounter","ViewHardHatAnalytics","ViewGunDetectorNotifications","ViewRailroadSearch","ViewUsers","EditLprListElement","ViewObjectInZoneNotification","ViewLprLists","AddLprListElement","ViewObjectInZoneAnalytics","EditLprList","DeleteLprList","ViewTrafficStats","ViewFaceLists","ViewFaceSearch"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |0        |           |
|52 |ON DISTRIBUIDORA         |["ManageTrafficAnalytic","ViewFaceEvents","ManageSmokeFireAnalytics","DeleteFaceList","ViewLprSearch","DeleteFaceListElement","ViewLogs","EditFaceListElement","ViewRoles","ExportLprSearch","ManageEvents","ManageLprAnalytic","ViewLprStats","ManageStreams","ViewSmokeFireNotifications","ViewTrafficEvents","AcceptObjectInZoneNotification","ViewLprAnalytic","EditFaceList","ViewTrafficAnalytic","AddFaceListElement","ViewGunDetectorAnalytics","ManageRoles","ViewSmokeFireAnalytics","ManageRailroadAnalytic","ManageUsers","ViewRailroadAnalytic","ViewFaceAnalytic","ManageHardHatAnalytic","DeleteLprListElement","ViewStreams","ViewHardHatNotifications","ManageObjectInZoneAnalytics","ViewLiveTrafficAnalytics","ManageFaceAnalytic","ManageGunDetectorAnalytics","AddLprList","AddFaceList","ViewTrafficObjectCounter","ViewHardHatAnalytics","ViewGunDetectorNotifications","ViewRailroadSearch","ViewUsers","EditLprListElement","ViewObjectInZoneNotification","ViewLprLists","AddLprListElement","ViewObjectInZoneAnalytics","EditLprList","DeleteLprList","ViewTrafficStats","ViewFaceLists","ViewFaceSearch"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |0        |           |
|53 |JUSBRASIL-USERS          |["AddFaceListElement","AddFaceList","ViewFaceEvents","DeleteFaceList","ManageFaceAnalytic","DeleteFaceListElement","ViewFaceLists","EditFaceListElement","ViewFaceSearch","ViewFaceAnalytic","EditFaceList"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |0        |           |
|54 |Operador Praia Fort      |["ManageTrafficAnalytic","DeleteLprListElement","ViewStreams","ManageObjectInZoneAnalytics","ViewLiveTrafficAnalytics","ManageSmokeFireAnalytics","ViewFaceEvents","DeleteFaceList","ManageGunDetectorAnalytics","ManageFaceAnalytic","ViewLprSearch","DeleteFaceListElement","EditFaceListElement","ExportLprSearch","ViewRoles","ManageLprAnalytic","ManageEvents","ViewLprStats","AddFaceList","AddLprList","ViewTrafficObjectCounter","ManageStreams","ViewSmokeFireNotifications","ViewTrafficEvents","ViewGunDetectorNotifications","ViewUsers","EditLprListElement","AcceptObjectInZoneNotification","ViewObjectInZoneNotification","ViewLprAnalytic","ViewLprLists","EditFaceList","AddLprListElement","ViewTrafficAnalytic","AddFaceListElement","ViewGunDetectorAnalytics","ViewObjectInZoneAnalytics","ManageRoles","ViewSmokeFireAnalytics","EditLprList","ManageUsers","DeleteLprList","ViewTrafficStats","ViewFaceLists","ViewFaceSearch","ViewFaceAnalytic"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |0        |           |
|55 |OPERADOR                 |["DeleteLprListElement","EditLprListElement","ViewFaceEvents","DeleteFaceList","AcceptObjectInZoneNotification","ViewLprSearch","DeleteFaceListElement","ViewObjectInZoneNotification","EditFaceListElement","ViewLprLists","ExportLprSearch","EditFaceList","AddLprListElement","AddFaceListElement","ViewLprStats","AddFaceList","AddLprList","EditLprList","DeleteLprList","ViewFaceLists","ViewGunDetectorNotifications","ViewFaceSearch"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |0        |           |
|56 |SHOW ROOM                |["ManageTrafficAnalytic","ViewFaceEvents","ManageSmokeFireAnalytics","DeleteFaceList","ViewLprSearch","DeleteFaceListElement","ViewLogs","EditFaceListElement","ExportLprSearch","ViewRoles","ManageLprAnalytic","ManageEvents","ViewServers","ViewLprStats","ManageStreams","ViewSmokeFireNotifications","ViewTrafficEvents","ManageBranding","AcceptObjectInZoneNotification","ManageLicenses","ViewLprAnalytic","EditFaceList","AddFaceListElement","ViewTrafficAnalytic","ViewGunDetectorAnalytics","ManageRoles","ManageRailroadAnalytic","ViewSmokeFireAnalytics","ManageUsers","ViewRailroadAnalytic","ViewFaceAnalytic","ManageGeneralSettings","ManageHardHatAnalytic","EditNotificationSounds","DeleteLprListElement","ViewStreams","ViewHardHatNotifications","ManageObjectInZoneAnalytics","ViewLiveTrafficAnalytics","ManageGunDetectorAnalytics","ManageFaceAnalytic","AddFaceList","AddLprList","ViewTrafficObjectCounter","ViewHardHatAnalytics","ViewGunDetectorNotifications","ViewRailroadSearch","ViewUsers","EditLprListElement","ViewObjectInZoneNotification","ViewLprLists","AddLprListElement","ViewObjectInZoneAnalytics","EditLprList","DeleteLprList","ViewTrafficStats","ViewFaceLists","ViewFaceSearch"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |0        |           |
|57 |OPERADOR GTTAM           |["DeleteLprListElement","ManageTrafficAnalytic","ViewStreams","ManageObjectInZoneAnalytics","ViewLiveTrafficAnalytics","ViewFaceEvents","DeleteFaceList","ManageFaceAnalytic","ViewLprSearch","DeleteFaceListElement","EditFaceListElement","ExportLprSearch","ManageEvents","ManageLprAnalytic","ViewLprStats","AddLprList","AddFaceList","ViewTrafficObjectCounter","ManageStreams","ViewTrafficEvents","EditLprListElement","AcceptObjectInZoneNotification","ViewObjectInZoneNotification","ViewLprAnalytic","ViewLprLists","EditFaceList","AddLprListElement","AddFaceListElement","ViewTrafficAnalytic","ViewObjectInZoneAnalytics","EditLprList","DeleteLprList","ViewTrafficStats","ViewFaceLists","ViewFaceSearch","ViewFaceAnalytic"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |0        |           |
|58 |TIAGO                    |["DeleteLprListElement","ViewStreams","ManageObjectInZoneAnalytics","ViewFaceEvents","DeleteFaceList","ManageFaceAnalytic","ViewLprSearch","DeleteFaceListElement","EditFaceListElement","ExportLprSearch","ViewRoles","ManageEvents","ManageLprAnalytic","ViewLprStats","AddFaceList","AddLprList","ManageStreams","ViewUsers","EditLprListElement","AcceptObjectInZoneNotification","ViewObjectInZoneNotification","ViewLprAnalytic","ViewLprLists","EditFaceList","AddLprListElement","AddFaceListElement","ViewObjectInZoneAnalytics","ManageRoles","EditLprList","ManageUsers","DeleteLprList","ViewFaceLists","ViewFaceSearch","ViewFaceAnalytic"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |0        |           |
|62 |SUPERVISOR ATCOM         |["ManageTrafficAnalytic","DeleteLprListElement","ViewStreams","ManageObjectInZoneAnalytics","ViewLiveTrafficAnalytics","ManageSmokeFireAnalytics","ViewFaceEvents","DeleteFaceList","ManageGunDetectorAnalytics","ManageFaceAnalytic","ViewLprSearch","DeleteFaceListElement","EditFaceListElement","ExportLprSearch","ViewRoles","ManageLprAnalytic","ManageEvents","ViewLprStats","AddFaceList","AddLprList","ViewTrafficObjectCounter","ManageStreams","ViewSmokeFireNotifications","ViewTrafficEvents","ViewGunDetectorNotifications","ViewUsers","EditLprListElement","AcceptObjectInZoneNotification","ViewObjectInZoneNotification","ViewLprAnalytic","ViewLprLists","EditFaceList","AddLprListElement","ViewTrafficAnalytic","AddFaceListElement","ViewGunDetectorAnalytics","ViewObjectInZoneAnalytics","ManageRoles","ViewSmokeFireAnalytics","EditLprList","ManageUsers","DeleteLprList","ViewTrafficStats","ViewFaceLists","ViewFaceSearch","ViewFaceAnalytic"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |0        |           |
|63 |Operador de Monitoramento|["ViewObjectInZoneAnalytics","ViewObjectInZoneNotification"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |0        |           |
|64 |Supervisor Martel        |["ManageTrafficAnalytic","ViewFaceEvents","ManageSmokeFireAnalytics","DeleteFaceList","ViewLprSearch","DeleteFaceListElement","EditFaceListElement","ExportLprSearch","ViewRoles","ManageLprAnalytic","ManageEvents","ViewLprStats","ManageStreams","ViewSmokeFireNotifications","ViewTrafficEvents","AcceptObjectInZoneNotification","ViewLprAnalytic","EditFaceList","ViewTrafficAnalytic","AddFaceListElement","ViewGunDetectorAnalytics","ManageRoles","ManageRailroadAnalytic","ViewSmokeFireAnalytics","ManageUsers","ViewRailroadAnalytic","ViewFaceAnalytic","ManageHardHatAnalytic","DeleteLprListElement","ViewStreams","ManageObjectInZoneAnalytics","ViewHardHatNotifications","ViewLiveTrafficAnalytics","ManageGunDetectorAnalytics","ManageFaceAnalytic","AddFaceList","AddLprList","ViewTrafficObjectCounter","ViewHardHatAnalytics","ViewGunDetectorNotifications","ViewRailroadSearch","ViewUsers","EditLprListElement","ViewObjectInZoneNotification","ViewLprLists","AddLprListElement","ViewObjectInZoneAnalytics","EditLprList","DeleteLprList","ViewTrafficStats","ViewFaceLists","ViewFaceSearch"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |0        |           |
|65 |spc                      |["AddFaceListElement","AddFaceList","ViewStreams","ViewFaceEvents","DeleteFaceList","DeleteFaceListElement","ViewFaceLists","ViewFaceSearch","EditFaceListElement","ViewFaceAnalytic","EditFaceList","EditNotificationSounds"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |0        |           |
|66 |BENUVEM OPERADOR         |["ViewStreams","ViewFaceEvents","DeleteFaceList","ManageFaceAnalytic","DeleteFaceListElement","EditFaceListElement","EditFaceList","AddFaceListElement","ManageEvents","AddFaceList","ManageStreams","ViewFaceLists","ViewFaceSearch","ViewFaceAnalytic"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |0        |           |
|67 |OPERADOR MONITORY PLUS   |["ManageTrafficAnalytic","ManageSmokeFireAnalytics","ViewFaceEvents","DeleteFaceList","ViewLprSearch","DeleteFaceListElement","EditFaceListElement","ExportLprSearch","ViewRoles","ManageLprAnalytic","ManageEvents","ViewLprStats","ManageStreams","ViewSmokeFireNotifications","ViewTrafficEvents","AcceptObjectInZoneNotification","ViewLprAnalytic","EditFaceList","ViewTrafficAnalytic","AddFaceListElement","ManageRoles","ViewSmokeFireAnalytics","ManageRailroadAnalytic","ManageUsers","ViewRailroadAnalytic","ViewFaceAnalytic","ManageHardHatAnalytic","DeleteLprListElement","ViewStreams","ManageObjectInZoneAnalytics","ViewHardHatNotifications","ViewLiveTrafficAnalytics","ManageFaceAnalytic","AddFaceList","AddLprList","ViewTrafficObjectCounter","ViewHardHatAnalytics","ViewRailroadSearch","ViewUsers","EditLprListElement","ViewObjectInZoneNotification","ViewLprLists","AddLprListElement","ViewObjectInZoneAnalytics","EditLprList","DeleteLprList","ViewTrafficStats","ViewFaceLists","ViewFaceSearch"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |0        |           |
