|id |list_id|list_item_id|confidence|box                                                                            |face_image                                                                                    |frame_image                                                                           |analytics_id|age   |gender|race  |spoofed|mask  |created_at             |client_id|latitude|longitude|uuid                                |
|---|-------|------------|----------|-------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------|------------|------|------|------|-------|------|-----------------------|---------|--------|---------|------------------------------------|
|1  |1      |0           |0         |[0.75,0.20460526645183563,0.7734375,0.25131580233573914]                       |analytics/faces/7/2025/12/17/22/ee2b5c90-a88c-4456-9484-02bb8e171fa8_1766010514154_cropped.jpg|analytics/faces/7/2025/12/17/22/ee2b5c90-a88c-4456-9484-02bb8e171fa8_1766010514154.jpg|7           |22-30 |1     |[NULL]|[NULL] |[NULL]|2025-12-17 22:28:34.178|0        |0       |0        |ee2b5c90-a88c-4456-9484-02bb8e171fa8|
|2  |1      |0           |0         |[0.8984375,0.2750000059604645,0.9296875,0.3190789520740509]                    |analytics/faces/7/2025/12/17/22/a49bdd7b-74b7-4958-a037-2865f0a3b622_1766010521809_cropped.jpg|analytics/faces/7/2025/12/17/22/a49bdd7b-74b7-4958-a037-2865f0a3b622_1766010521809.jpg|7           |36-40 |1     |[NULL]|[NULL] |[NULL]|2025-12-17 22:28:41.812|0        |0       |0        |a49bdd7b-74b7-4958-a037-2865f0a3b622|
|3  |1      |0           |0         |[0.1733630895614624,0.24671052396297455,0.2016369104385376,0.3032894730567932] |analytics/faces/7/2025/12/17/22/83084fb5-af9f-4350-8387-db0381514344_1766010554239_cropped.jpg|analytics/faces/7/2025/12/17/22/83084fb5-af9f-4350-8387-db0381514344_1766010554239.jpg|7           |22-30 |1     |[NULL]|[NULL] |[NULL]|2025-12-17 22:29:14.243|0        |0       |0        |83084fb5-af9f-4350-8387-db0381514344|
|4  |1      |0           |0         |[0.2436755895614624,0.08881578594446182,0.2607886791229248,0.11710526049137115]|analytics/faces/7/2025/12/17/22/1610e3fd-b49b-4021-82be-74dc36e74edb_1766010591889_cropped.jpg|analytics/faces/7/2025/12/17/22/1610e3fd-b49b-4021-82be-74dc36e74edb_1766010591889.jpg|7           |22-30 |0     |[NULL]|[NULL] |[NULL]|2025-12-17 22:29:51.894|0        |0       |0        |1610e3fd-b49b-4021-82be-74dc36e74edb|
|5  |1      |0           |0         |[0.8110119104385376,0.24868421256542206,0.8389136791229248,0.29539474844932556]|analytics/faces/7/2025/12/17/22/0477bce8-807c-4241-aa46-c50a51551c71_1766010595822_cropped.jpg|analytics/faces/7/2025/12/17/22/0477bce8-807c-4241-aa46-c50a51551c71_1766010595822.jpg|7           |31-35 |1     |[NULL]|[NULL] |[NULL]|2025-12-17 22:29:55.825|0        |0       |0        |0477bce8-807c-4241-aa46-c50a51551c71|
|6  |1      |0           |0         |[0.1889880895614624,0.5967105031013489,0.239211305975914,0.699999988079071]    |analytics/faces/7/2025/12/17/22/138a5b69-8972-43f6-93ff-d985deb7cdd0_1766010599881_cropped.jpg|analytics/faces/7/2025/12/17/22/138a5b69-8972-43f6-93ff-d985deb7cdd0_1766010599881.jpg|7           |22-30 |1     |[NULL]|[NULL] |[NULL]|2025-12-17 22:29:59.885|0        |0       |0        |138a5b69-8972-43f6-93ff-d985deb7cdd0|
|7  |1      |0           |0         |[0.8266369104385376,0.14539474248886108,0.8467261791229248,0.17499999701976776]|analytics/faces/7/2025/12/17/22/5d543010-f0ed-4ec0-b3ab-8f0ebfea4b46_1766010600421_cropped.jpg|analytics/faces/7/2025/12/17/22/5d543010-f0ed-4ec0-b3ab-8f0ebfea4b46_1766010600421.jpg|7           |22-30 |0     |[NULL]|[NULL] |[NULL]|2025-12-17 22:30:00.425|0        |0       |0        |5d543010-f0ed-4ec0-b3ab-8f0ebfea4b46|
|8  |1      |0           |0         |[0.9281994104385376,0.17960526049137115,0.9482886791229248,0.20921052992343903]|analytics/faces/7/2025/12/17/22/e66cb1ee-01e8-4acd-9256-7eb213301fd3_1766010603165_cropped.jpg|analytics/faces/7/2025/12/17/22/e66cb1ee-01e8-4acd-9256-7eb213301fd3_1766010603165.jpg|7           |17-21 |1     |[NULL]|[NULL] |[NULL]|2025-12-17 22:30:03.169|0        |0       |0        |e66cb1ee-01e8-4acd-9256-7eb213301fd3|
|9  |1      |0           |0         |[0.8656994104385376,0.28289473056793213,0.890625,0.3282894790172577]           |analytics/faces/7/2025/12/17/22/2e10dccc-b5d0-41eb-9315-b5967b48fc8a_1766010608905_cropped.jpg|analytics/faces/7/2025/12/17/22/2e10dccc-b5d0-41eb-9315-b5967b48fc8a_1766010608905.jpg|7           |31-35 |0     |[NULL]|[NULL] |[NULL]|2025-12-17 22:30:08.909|0        |0       |0        |2e10dccc-b5d0-41eb-9315-b5967b48fc8a|
