|id |status|accepted_by|va_id|stream_id|frame_image                                                 |thumbnail_image                                                       |trigger|trigger_settings|notification_type|resolution                  |created_at             |rule_type|rule                                                                                                                                                                                                                                                                                                                                 |client_id|notification_status|presence_action_type|
|39 |0     |1          |6    |2        |analytics/smart_va_alerts/6/2025/12/17/21/_1766007314976.jpg|analytics/smart_va_alerts/6/2025/12/17/21/_1766007314976_thumbnail.jpg|[NULL] |[NULL]          |alert            |{"height":1080,"width":1920}|2025-12-17 21:35:14.977|1        |{"additional_info":{"direction":31},"id":"113b0ad46e47","name":"Rule 1","points":[{"x":0.41953125,"y":0.03611111111111111},{"x":0.81640625,"y":0.06111111111111111},{"x":0.61953125,"y":0.9777777777777777},{"x":0.016,"y":0.972},{"x":0.02265625,"y":0.4111111111111111}],"type":"zone_with_direction"}                             |0        |0                  |[NULL]              |
|50 |0     |1          |6    |2        |analytics/smart_va_alerts/6/2025/12/17/21/_1766008305021.jpg|analytics/smart_va_alerts/6/2025/12/17/21/_1766008305021_thumbnail.jpg|[NULL] |[NULL]          |alert            |{"height":1080,"width":1920}|2025-12-17 21:51:45.021|1        |{"additional_info":{"direction":31},"id":"113b0ad46e47","name":"Rule 1","points":[{"x":0.41953125,"y":0.03611111111111111},{"x":0.81640625,"y":0.06111111111111111},{"x":0.61953125,"y":0.9777777777777777},{"x":0.016,"y":0.972},{"x":0.02265625,"y":0.4111111111111111}],"type":"zone_with_direction"}                             |0        |0                  |[NULL]              |
|40 |0     |1          |6    |2        |analytics/smart_va_alerts/6/2025/12/17/21/_1766007420930.jpg|analytics/smart_va_alerts/6/2025/12/17/21/_1766007420930_thumbnail.jpg|[NULL] |[NULL]          |alert            |{"height":1080,"width":1920}|2025-12-17 21:37:00.93 |1        |{"additional_info":{"direction":31},"id":"113b0ad46e47","name":"Rule 1","points":[{"x":0.41953125,"y":0.03611111111111111},{"x":0.81640625,"y":0.06111111111111111},{"x":0.61953125,"y":0.9777777777777777},{"x":0.016,"y":0.972},{"x":0.02265625,"y":0.4111111111111111}],"type":"zone_with_direction"}                             |0        |0                  |[NULL]              |
|41 |0     |1          |6    |2        |analytics/smart_va_alerts/6/2025/12/17/21/_1766007422941.jpg|analytics/smart_va_alerts/6/2025/12/17/21/_1766007422941_thumbnail.jpg|[NULL] |[NULL]          |alert            |{"height":1080,"width":1920}|2025-12-17 21:37:02.941|1        |{"additional_info":{"direction":31},"id":"113b0ad46e47","name":"Rule 1","points":[{"x":0.41953125,"y":0.03611111111111111},{"x":0.81640625,"y":0.06111111111111111},{"x":0.61953125,"y":0.9777777777777777},{"x":0.016,"y":0.972},{"x":0.02265625,"y":0.4111111111111111}],"type":"zone_with_direction"}                             |0        |0                  |[NULL]              |
|42 |0     |1          |6    |2        |analytics/smart_va_alerts/6/2025/12/17/21/_1766007423916.jpg|analytics/smart_va_alerts/6/2025/12/17/21/_1766007423916_thumbnail.jpg|[NULL] |[NULL]          |alert            |{"height":1080,"width":1920}|2025-12-17 21:37:03.916|1        |{"additional_info":{"direction":31},"id":"113b0ad46e47","name":"Rule 1","points":[{"x":0.41953125,"y":0.03611111111111111},{"x":0.81640625,"y":0.06111111111111111},{"x":0.61953125,"y":0.9777777777777777},{"x":0.016,"y":0.972},{"x":0.02265625,"y":0.4111111111111111}],"type":"zone_with_direction"}                             |0        |0                  |[NULL]              |
|43 |0     |1          |6    |2        |analytics/smart_va_alerts/6/2025/12/17/21/_1766007607544.jpg|analytics/smart_va_alerts/6/2025/12/17/21/_1766007607544_thumbnail.jpg|[NULL] |[NULL]          |alert            |{"height":1080,"width":1920}|2025-12-17 21:40:07.545|1        |{"additional_info":{"direction":31},"id":"113b0ad46e47","name":"Rule 1","points":[{"x":0.41953125,"y":0.03611111111111111},{"x":0.81640625,"y":0.06111111111111111},{"x":0.61953125,"y":0.9777777777777777},{"x":0.016,"y":0.972},{"x":0.02265625,"y":0.4111111111111111}],"type":"zone_with_direction"}                             |0        |0                  |[NULL]              |
|47 |0     |1          |6    |2        |analytics/smart_va_alerts/6/2025/12/17/21/_1766008000665.jpg|analytics/smart_va_alerts/6/2025/12/17/21/_1766008000665_thumbnail.jpg|[NULL] |[NULL]          |alert            |{"height":1080,"width":1920}|2025-12-17 21:46:40.665|1        |{"additional_info":{"direction":31},"id":"113b0ad46e47","name":"Rule 1","points":[{"x":0.41953125,"y":0.03611111111111111},{"x":0.81640625,"y":0.06111111111111111},{"x":0.61953125,"y":0.9777777777777777},{"x":0.016,"y":0.972},{"x":0.02265625,"y":0.4111111111111111}],"type":"zone_with_direction"}                             |0        |0                  |[NULL]              |
|48 |0     |1          |6    |2        |analytics/smart_va_alerts/6/2025/12/17/21/_1766008017947.jpg|analytics/smart_va_alerts/6/2025/12/17/21/_1766008017947_thumbnail.jpg|[NULL] |[NULL]          |alert            |{"height":1080,"width":1920}|2025-12-17 21:46:57.947|1        |{"additional_info":{"direction":31},"id":"113b0ad46e47","name":"Rule 1","points":[{"x":0.41953125,"y":0.03611111111111111},{"x":0.81640625,"y":0.06111111111111111},{"x":0.61953125,"y":0.9777777777777777},{"x":0.016,"y":0.972},{"x":0.02265625,"y":0.4111111111111111}],"type":"zone_with_direction"}                             |0        |0                  |[NULL]              |
|49 |0     |1          |6    |2        |analytics/smart_va_alerts/6/2025/12/17/21/_1766008047879.jpg|analytics/smart_va_alerts/6/2025/12/17/21/_1766008047879_thumbnail.jpg|[NULL] |[NULL]          |alert            |{"height":1080,"width":1920}|2025-12-17 21:47:27.879|1        |{"additional_info":{"direction":31},"id":"113b0ad46e47","name":"Rule 1","points":[{"x":0.41953125,"y":0.03611111111111111},{"x":0.81640625,"y":0.06111111111111111},{"x":0.61953125,"y":0.9777777777777777},{"x":0.016,"y":0.972},{"x":0.02265625,"y":0.4111111111111111}],"type":"zone_with_direction"}                             |0        |0                  |[NULL]              |
|1  |0     |1          |4    |3        |analytics/smart_va_alerts/4/2025/12/17/9/_1765964722288.jpg |analytics/smart_va_alerts/4/2025/12/17/9/_1765964722288_thumbnail.jpg |[NULL] |[NULL]          |alert            |{"height":1520,"width":2688}|2025-12-17 09:45:22.289|1        |{"additional_info":{"direction":342},"id":"c333265fce8c","name":"Rule 1","points":[{"x":0.2903004123306499,"y":0.1},{"x":0.6814254859611231,"y":0.025},{"x":0.9830159041822109,"y":0.3277777777777778},{"x":0.9991370508541136,"y":0.9442222222222223},{"x":0.5007853917141174,"y":0.9583333333333334}],"type":"zone_with_direction"}|0        |0                  |[NULL]              |
|2  |0     |1          |4    |3        |analytics/smart_va_alerts/4/2025/12/17/9/_1765964724442.jpg |analytics/smart_va_alerts/4/2025/12/17/9/_1765964724442_thumbnail.jpg |[NULL] |[NULL]          |alert            |{"height":1520,"width":2688}|2025-12-17 09:45:24.442|1        |{"additional_info":{"direction":342},"id":"c333265fce8c","name":"Rule 1","points":[{"x":0.2903004123306499,"y":0.1},{"x":0.6814254859611231,"y":0.025},{"x":0.9830159041822109,"y":0.3277777777777778},{"x":0.9991370508541136,"y":0.9442222222222223},{"x":0.5007853917141174,"y":0.9583333333333334}],"type":"zone_with_direction"}|0        |0                  |[NULL]              |
|3  |0     |1          |4    |3        |analytics/smart_va_alerts/4/2025/12/17/9/_1765964739249.jpg |analytics/smart_va_alerts/4/2025/12/17/9/_1765964739249_thumbnail.jpg |[NULL] |[NULL]          |alert            |{"height":1520,"width":2688}|2025-12-17 09:45:39.249|1        |{"additional_info":{"direction":342},"id":"c333265fce8c","name":"Rule 1","points":[{"x":0.2903004123306499,"y":0.1},{"x":0.6814254859611231,"y":0.025},{"x":0.9830159041822109,"y":0.3277777777777778},{"x":0.9991370508541136,"y":0.9442222222222223},{"x":0.5007853917141174,"y":0.9583333333333334}],"type":"zone_with_direction"}|0        |0                  |[NULL]              |
|4  |0     |1          |4    |3        |analytics/smart_va_alerts/4/2025/12/17/9/_1765964787388.jpg |analytics/smart_va_alerts/4/2025/12/17/9/_1765964787388_thumbnail.jpg |[NULL] |[NULL]          |alert            |{"height":1520,"width":2688}|2025-12-17 09:46:27.389|1        |{"additional_info":{"direction":342},"id":"c333265fce8c","name":"Rule 1","points":[{"x":0.2903004123306499,"y":0.1},{"x":0.6814254859611231,"y":0.025},{"x":0.9830159041822109,"y":0.3277777777777778},{"x":0.9991370508541136,"y":0.9442222222222223},{"x":0.5007853917141174,"y":0.9583333333333334}],"type":"zone_with_direction"}|0        |0                  |[NULL]              |
|5  |0     |1          |4    |3        |analytics/smart_va_alerts/4/2025/12/17/9/_1765964788536.jpg |analytics/smart_va_alerts/4/2025/12/17/9/_1765964788536_thumbnail.jpg |[NULL] |[NULL]          |alert            |{"height":1520,"width":2688}|2025-12-17 09:46:28.537|1        |{"additional_info":{"direction":342},"id":"c333265fce8c","name":"Rule 1","points":[{"x":0.2903004123306499,"y":0.1},{"x":0.6814254859611231,"y":0.025},{"x":0.9830159041822109,"y":0.3277777777777778},{"x":0.9991370508541136,"y":0.9442222222222223},{"x":0.5007853917141174,"y":0.9583333333333334}],"type":"zone_with_direction"}|0        |0                  |[NULL]              |
|6  |0     |1          |4    |3        |analytics/smart_va_alerts/4/2025/12/17/9/_1765964793287.jpg |analytics/smart_va_alerts/4/2025/12/17/9/_1765964793287_thumbnail.jpg |[NULL] |[NULL]          |alert            |{"height":1520,"width":2688}|2025-12-17 09:46:33.287|1        |{"additional_info":{"direction":342},"id":"c333265fce8c","name":"Rule 1","points":[{"x":0.2903004123306499,"y":0.1},{"x":0.6814254859611231,"y":0.025},{"x":0.9830159041822109,"y":0.3277777777777778},{"x":0.9991370508541136,"y":0.9442222222222223},{"x":0.5007853917141174,"y":0.9583333333333334}],"type":"zone_with_direction"}|0        |0                  |[NULL]              |
|7  |0     |1          |4    |3        |analytics/smart_va_alerts/4/2025/12/17/9/_1765964796178.jpg |analytics/smart_va_alerts/4/2025/12/17/9/_1765964796178_thumbnail.jpg |[NULL] |[NULL]          |alert            |{"height":1520,"width":2688}|2025-12-17 09:46:36.179|1        |{"additional_info":{"direction":342},"id":"c333265fce8c","name":"Rule 1","points":[{"x":0.2903004123306499,"y":0.1},{"x":0.6814254859611231,"y":0.025},{"x":0.9830159041822109,"y":0.3277777777777778},{"x":0.9991370508541136,"y":0.9442222222222223},{"x":0.5007853917141174,"y":0.9583333333333334}],"type":"zone_with_direction"}|0        |0                  |[NULL]              |
|8  |0     |1          |4    |3        |analytics/smart_va_alerts/4/2025/12/17/9/_1765964797564.jpg |analytics/smart_va_alerts/4/2025/12/17/9/_1765964797564_thumbnail.jpg |[NULL] |[NULL]          |alert            |{"height":1520,"width":2688}|2025-12-17 09:46:37.564|1        |{"additional_info":{"direction":342},"id":"c333265fce8c","name":"Rule 1","points":[{"x":0.2903004123306499,"y":0.1},{"x":0.6814254859611231,"y":0.025},{"x":0.9830159041822109,"y":0.3277777777777778},{"x":0.9991370508541136,"y":0.9442222222222223},{"x":0.5007853917141174,"y":0.9583333333333334}],"type":"zone_with_direction"}|0        |0                  |[NULL]              |
