|id                                                                     |author            |filename                                                       |dateexecuted              |orderexecuted|exectype|md5sum                            |description                                                                                                                                                                                                                                               |comments           |tag   |liquibase|contexts|labels|deployment_id|
|add-plugin-name-backup-configurations-unique-constraint                |maksym.kostyshen  |sql/changelog/2.0.0/plugin-configurations-table.xml            |2025-12-17 01:44:37.609423|17           |MARK_RAN|8:b262cb17abde4a810e0153d8fa97a923|addUniqueConstraint tableName=plugin_backup_configurations                                                                                                                                                                                                |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935876842   |
|add-plugin-id-column-plugin-configurations-table                       |maksym.kostyshen  |sql/changelog/2.0.0/plugin-configurations-table.xml            |2025-12-17 01:44:37.629254|18           |EXECUTED|8:f258d4c7be511964f1c0076aad9f0b06|addColumn tableName=plugin_configurations                                                                                                                                                                                                                 |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935876842   |
|create-service-certificate-info-table                                  |dmytro.yarmoshchuk|sql/changelog/2.0.0/service-certificate-info.xml               |2025-12-17 01:44:37.671214|19           |EXECUTED|8:71a7eb6d22f20e26ca17666d6777ec6d|createTable tableName=service_certificate_info                                                                                                                                                                                                            |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935876842   |
|create-sounds-settings-table                                           |dmytro.yarmoshchuk|sql/changelog/2.0.0/sounds-table.xml                           |2025-12-17 01:44:37.722365|20           |EXECUTED|8:100346b7e84f55b1df467fa977e6fbb5|createTable tableName=sounds_settings                                                                                                                                                                                                                     |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935876842   |
|create-table-analytics                                                 |oleg.syvyniuk     |sql/changelog/2.0.0/analytics-table.xml                        |2025-12-17 01:44:45.039395|21           |EXECUTED|8:8f98109784bbfa09452a9c425ae6da93|createTable tableName=analytics                                                                                                                                                                                                                           |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
|analytics-table-topic-changes                                          |maksym.kostyshen  |sql/changelog/2.0.0/analytics-table.xml                        |2025-12-17 01:44:45.07114 |22           |EXECUTED|8:56acfbed2a0092df4285b1b3aeb54f82|dropDefaultValue columnName=topic, tableName=analytics; modifyDataType columnName=topic, tableName=analytics; addNotNullConstraint columnName=topic, tableName=analytics                                                                                  |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
|analytics-replace-stream-id-with-stream-uuid                           |maksym.kostyshen  |sql/changelog/2.0.0/analytics-table.xml                        |2025-12-17 01:44:45.091367|23           |EXECUTED|8:d9432291e403a43a06c5ec1e15ec2fc2|dropColumn columnName=stream_id, tableName=analytics; addColumn tableName=analytics                                                                                                                                                                       |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
|rename-topic-to-uuid                                                   |maksym.kostyshen  |sql/changelog/2.0.0/analytics-table.xml                        |2025-12-17 01:44:45.109366|24           |EXECUTED|8:e6471293b04c80c271572740c81a29d7|renameColumn newColumnName=uuid, oldColumnName=topic, tableName=analytics                                                                                                                                                                                 |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
|create-table-streams                                                   |igor.kiulian      |sql/changelog/2.0.0/streams-table.xml                          |2025-12-17 01:44:45.165095|25           |EXECUTED|8:cde0f285d065f3260179abb92059c04b|createTable tableName=streams                                                                                                                                                                                                                             |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
|create-stream-groups-table                                             |igor.kiulian      |sql/changelog/2.0.0/streams-table.xml                          |2025-12-17 01:44:45.201235|26           |EXECUTED|8:30f027a8227a47e79cc99118b57f1f02|createTable tableName=stream_groups                                                                                                                                                                                                                       |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
|add-parent-id-streams                                                  |igor.kiulian      |sql/changelog/2.0.0/streams-table.xml                          |2025-12-17 01:44:45.219471|27           |EXECUTED|8:03d5cfb3f4c38b0b8e35f77eb9751644|addColumn tableName=streams                                                                                                                                                                                                                               |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
|change-uuid-type                                                       |maksym.kostyshen  |sql/changelog/2.0.0/streams-table.xml                          |2025-12-17 01:44:45.254566|28           |EXECUTED|8:3e872d771c715e4d7fef93f98295dcf7|modifyDataType columnName=uuid, tableName=streams                                                                                                                                                                                                         |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
|create-table-users                                                     |igor.kiulian      |sql/changelog/2.0.0/users-table.xml                            |2025-12-17 01:44:45.299583|29           |EXECUTED|8:59f51bcfbf0161582cd9b28d8e0c8afc|createTable tableName=users                                                                                                                                                                                                                               |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
