|id |plate_number|arabic_number|adr|box                                                                                |plate_image                                                       |frame_image                                               |analytics_id|make_model_id|vehicle_type|created_at             |color_id|direction|country|pattern  |client_id|latitude |longitude|
|17 |FCR2794     |             |   |[0.6108630895614624,0.30065789818763733,0.6622023582458496,0.32697367668151855]    |analytics/plates/3/2025/12/17/22/FCR2794_1766011942859_cropped.jpg|analytics/plates/3/2025/12/17/22/FCR2794_1766011942859.jpg|3           |-1           |0           |2025-12-17 22:52:22.859|4       |-1       |BR     |BRAZIL-1 |0        |0        |0        |
|18 |AYT9B90     |             |   |[0.5282738208770752,0.28289473056793213,0.5762648582458496,0.3059210479259491]     |analytics/plates/3/2025/12/17/22/AYT9B90_1766012028055_cropped.jpg|analytics/plates/3/2025/12/17/22/AYT9B90_1766012028055.jpg|3           |200,150      |7           |2025-12-17 22:53:48.057|7       |315      |BR     |BRAZIL-1 |0        |0        |0        |
|19 |DZE7455     |             |   |[0.7522321343421936,0.2651315927505493,0.7938988208770752,0.2940789461135864]      |analytics/plates/3/2025/12/17/22/DZE7455_1766012088422_cropped.jpg|analytics/plates/3/2025/12/17/22/DZE7455_1766012088422.jpg|3           |200,051      |7           |2025-12-17 22:54:48.424|1       |299      |EC     |ECUADOR-1|0        |0        |0        |
|20 |DWD0981     |             |   |[0.640252947807312,0.21250000596046448,0.6767113208770752,0.23355263471603394]     |analytics/plates/3/2025/12/17/22/DWD0981_1766012092598_cropped.jpg|analytics/plates/3/2025/12/17/22/DWD0981_1766012092598.jpg|3           |200,051      |7           |2025-12-17 22:54:52.6  |1       |308      |BR     |BRAZIL-1 |0        |0        |0        |
|21 |DXT1H94     |             |   |[0.6104910969734192,0.1407894790172577,0.6517857313156128,0.16578947007656097]     |analytics/plates/3/2025/12/17/22/DXT1H94_1766012102143_cropped.jpg|analytics/plates/3/2025/12/17/22/DXT1H94_1766012102143.jpg|3           |200,078      |7           |2025-12-17 22:55:02.145|7       |305      |BR     |BRAZIL-1 |0        |0        |0        |
|22 |OCT3M94     |             |   |[0.5487351417541504,0.08881578594446182,0.5851934552192688,0.10789473354816437]    |analytics/plates/3/2025/12/17/22/OCT3M94_1766012102983_cropped.jpg|analytics/plates/3/2025/12/17/22/OCT3M94_1766012102983.jpg|3           |200,078      |7           |2025-12-17 22:55:02.985|7       |-1       |BR     |BRAZIL-1 |0        |0        |0        |
|23 |CVY1I24     |             |   |[0.6201636791229248,0.15723684430122375,0.660342276096344,0.17565789818763733]     |analytics/plates/3/2025/12/17/22/CVY1I24_1766012107351_cropped.jpg|analytics/plates/3/2025/12/17/22/CVY1I24_1766012107351.jpg|3           |200,078      |7           |2025-12-17 22:55:07.353|7       |303      |BR     |BRAZIL-1 |0        |0        |0        |
|24 |FDN3178     |             |   |[0.757440447807312,0.3730263113975525,0.8117559552192688,0.40065789222717285]      |analytics/plates/3/2025/12/17/22/FDN3178_1766012115049_cropped.jpg|analytics/plates/3/2025/12/17/22/FDN3178_1766012115049.jpg|3           |200,473      |5           |2025-12-17 22:55:15.051|2       |306      |BR     |BRAZIL-1 |0        |0        |0        |
|25 |DUA1D07     |             |   |[0.609002947807312,0.31578946113586426,0.6666666865348816,0.34276315569877625]     |analytics/plates/3/2025/12/17/22/DUA1D07_1766012125568_cropped.jpg|analytics/plates/3/2025/12/17/22/DUA1D07_1766012125568.jpg|3           |200,051      |7           |2025-12-17 22:55:25.57 |1       |310      |BR     |BRAZIL-1 |0        |0        |0        |
|26 |EGQ3885     |             |   |[0.6841517686843872,0.2592105269432068,0.7313988208770752,0.2881578803062439]      |analytics/plates/3/2025/12/17/22/EGQ3885_1766012181148_cropped.jpg|analytics/plates/3/2025/12/17/22/EGQ3885_1766012181148.jpg|3           |200,851      |7           |2025-12-17 22:56:21.15 |5       |289      |EC     |ECUADOR-1|0        |0        |0        |
|27 |FFP0H31     |             |   |[0.7678571343421936,0.2677631676197052,0.8113839030265808,0.2973684072494507]      |analytics/plates/3/2025/12/17/22/FFP0H31_1766012197231_cropped.jpg|analytics/plates/3/2025/12/17/22/FFP0H31_1766012197231.jpg|3           |200,753      |7           |2025-12-17 22:56:37.234|1       |304      |BR     |BRAZIL-1 |0        |0        |0        |
|28 |SWW5D75     |             |   |[0.601190447807312,0.19078947603702545,0.6458333134651184,0.21578946709632874]     |analytics/plates/3/2025/12/17/22/SWW5D75_1766012202236_cropped.jpg|analytics/plates/3/2025/12/17/22/SWW5D75_1766012202236.jpg|3           |200,753      |7           |2025-12-17 22:56:42.237|1       |303      |BR     |BRAZIL-1 |0        |0        |0        |
|29 |SNN0607     |             |   |[0.8932291865348816,0.3888157904148102,0.9401041865348816,0.42302632331848145]     |analytics/plates/3/2025/12/17/22/SNN0607_1766012207014_cropped.jpg|analytics/plates/3/2025/12/17/22/SNN0607_1766012207014.jpg|3           |200,130      |7           |2025-12-17 22:56:47.016|5       |-1       |EC     |ECUADOR-1|0        |0        |0        |
|30 |CQV1411     |             |   |[0.625372052192688,0.30065789818763733,0.6767113208770752,0.3328947424888611]      |analytics/plates/3/2025/12/17/22/CQV1411_1766012211815_cropped.jpg|analytics/plates/3/2025/12/17/22/CQV1411_1766012211815.jpg|3           |200,051      |7           |2025-12-17 22:56:51.817|1       |312      |EC     |ECUADOR-1|0        |0        |0        |
|36 |DXA8A19     |             |   |[0.625372052192688,0.2789473831653595,0.6763392686843872,0.3059210479259491]       |analytics/plates/3/2025/12/17/22/DXA8A19_1766012319756_cropped.jpg|analytics/plates/3/2025/12/17/22/DXA8A19_1766012319756.jpg|3           |200,003      |7           |2025-12-17 22:58:39.759|5       |309      |BR     |BRAZIL-1 |0        |0        |0        |
|37 |DHK1F54     |             |   |[0.617559552192688,0.17236842215061188,0.656622052192688,0.1940789520740509]       |analytics/plates/3/2025/12/17/22/DHK1F54_1766012329738_cropped.jpg|analytics/plates/3/2025/12/17/22/DHK1F54_1766012329738.jpg|3           |202,727      |4           |2025-12-17 22:58:49.74 |2       |302      |BR     |BRAZIL-1 |0        |0        |0        |
|38 |GBV0A32     |             |   |[0.5658482313156128,0.40328946709632874,0.6272321343421936,0.43223685026168823]    |analytics/plates/3/2025/12/17/22/GBV0A32_1766012343425_cropped.jpg|analytics/plates/3/2025/12/17/22/GBV0A32_1766012343425.jpg|3           |202,727      |4           |2025-12-17 22:59:03.427|2       |313      |BR     |BRAZIL-1 |0        |0        |0        |
|39 |CSH7064     |             |   |[0.7898065447807312,0.3039473593235016,0.844122052192688,0.3328947424888611]       |analytics/plates/3/2025/12/17/22/CSH7064_1766012371503_cropped.jpg|analytics/plates/3/2025/12/17/22/CSH7064_1766012371503.jpg|3           |200,029      |7           |2025-12-17 22:59:31.505|6       |-1       |BR     |BRAZIL-1 |0        |0        |0        |
