|id |detection_id|status|accepted_by|created_at             |list_id|list_item_id|analytics_id|uuid                                |confidence|box                                                                            |face_image                                                                                    |frame_image                                                                           |age   |gender|race  |spoofed|mask  |latitude|longitude|client_id|
|5  |5           |0     |1          |2025-12-17 22:29:55.857|1      |0           |7           |0477bce8-807c-4241-aa46-c50a51551c71|0         |[0.8110119104385376,0.24868421256542206,0.8389136791229248,0.29539474844932556]|analytics/faces/7/2025/12/17/22/0477bce8-807c-4241-aa46-c50a51551c71_1766010595822_cropped.jpg|analytics/faces/7/2025/12/17/22/0477bce8-807c-4241-aa46-c50a51551c71_1766010595822.jpg|31-35 |1     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|6  |6           |0     |1          |2025-12-17 22:29:59.911|1      |0           |7           |138a5b69-8972-43f6-93ff-d985deb7cdd0|0         |[0.1889880895614624,0.5967105031013489,0.239211305975914,0.699999988079071]    |analytics/faces/7/2025/12/17/22/138a5b69-8972-43f6-93ff-d985deb7cdd0_1766010599881_cropped.jpg|analytics/faces/7/2025/12/17/22/138a5b69-8972-43f6-93ff-d985deb7cdd0_1766010599881.jpg|22-30 |1     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|7  |7           |0     |1          |2025-12-17 22:30:00.451|1      |0           |7           |5d543010-f0ed-4ec0-b3ab-8f0ebfea4b46|0         |[0.8266369104385376,0.14539474248886108,0.8467261791229248,0.17499999701976776]|analytics/faces/7/2025/12/17/22/5d543010-f0ed-4ec0-b3ab-8f0ebfea4b46_1766010600421_cropped.jpg|analytics/faces/7/2025/12/17/22/5d543010-f0ed-4ec0-b3ab-8f0ebfea4b46_1766010600421.jpg|22-30 |0     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|8  |8           |0     |1          |2025-12-17 22:30:03.194|1      |0           |7           |e66cb1ee-01e8-4acd-9256-7eb213301fd3|0         |[0.9281994104385376,0.17960526049137115,0.9482886791229248,0.20921052992343903]|analytics/faces/7/2025/12/17/22/e66cb1ee-01e8-4acd-9256-7eb213301fd3_1766010603165_cropped.jpg|analytics/faces/7/2025/12/17/22/e66cb1ee-01e8-4acd-9256-7eb213301fd3_1766010603165.jpg|17-21 |1     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|9  |9           |0     |1          |2025-12-17 22:30:08.94 |1      |0           |7           |2e10dccc-b5d0-41eb-9315-b5967b48fc8a|0         |[0.8656994104385376,0.28289473056793213,0.890625,0.3282894790172577]           |analytics/faces/7/2025/12/17/22/2e10dccc-b5d0-41eb-9315-b5967b48fc8a_1766010608905_cropped.jpg|analytics/faces/7/2025/12/17/22/2e10dccc-b5d0-41eb-9315-b5967b48fc8a_1766010608905.jpg|31-35 |0     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|10 |10          |0     |1          |2025-12-17 22:30:14.181|1      |0           |7           |c062ece0-423b-4e08-90bf-61aedf1f9e16|0         |[0.9267113208770752,0.20657894015312195,0.9468005895614624,0.24210526049137115]|analytics/faces/7/2025/12/17/22/c062ece0-423b-4e08-90bf-61aedf1f9e16_1766010614152_cropped.jpg|analytics/faces/7/2025/12/17/22/c062ece0-423b-4e08-90bf-61aedf1f9e16_1766010614152.jpg|22-30 |0     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|11 |11          |0     |1          |2025-12-17 22:30:15.728|1      |0           |7           |28ab8abb-af23-42b7-a155-4245699d1479|0         |[0.9438244104385376,0.30657893419265747,0.9639136791229248,0.33618420362472534]|analytics/faces/7/2025/12/17/22/28ab8abb-af23-42b7-a155-4245699d1479_1766010615699_cropped.jpg|analytics/faces/7/2025/12/17/22/28ab8abb-af23-42b7-a155-4245699d1479_1766010615699.jpg|17-21 |1     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|12 |12          |0     |1          |2025-12-17 22:30:22.284|1      |0           |7           |31fc4b8a-69da-43f5-a399-ec10eda1005a|0         |[0.9125744104385376,0.8578947186470032,0.953125,0.9375]                        |analytics/faces/7/2025/12/17/22/31fc4b8a-69da-43f5-a399-ec10eda1005a_1766010622249_cropped.jpg|analytics/faces/7/2025/12/17/22/31fc4b8a-69da-43f5-a399-ec10eda1005a_1766010622249.jpg|6-12  |0     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|13 |13          |0     |1          |2025-12-17 22:30:24.266|1      |0           |7           |841e138a-2cf0-4724-bdb5-9d032c58eec1|0         |[0.9375,0.1940789520740509,0.9594494104385376,0.22828947007656097]             |analytics/faces/7/2025/12/17/22/841e138a-2cf0-4724-bdb5-9d032c58eec1_1766010624242_cropped.jpg|analytics/faces/7/2025/12/17/22/841e138a-2cf0-4724-bdb5-9d032c58eec1_1766010624242.jpg|22-30 |0     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|14 |14          |0     |1          |2025-12-17 22:30:26.953|1      |0           |7           |8ab7e799-5425-41e3-b980-57ff95788e7b|0         |[0.8389136791229248,0.31578946113586426,0.8642113208770752,0.35328948497772217]|analytics/faces/7/2025/12/17/22/8ab7e799-5425-41e3-b980-57ff95788e7b_1766010626922_cropped.jpg|analytics/faces/7/2025/12/17/22/8ab7e799-5425-41e3-b980-57ff95788e7b_1766010626922.jpg|13-16 |0     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
